,ISOCode,Country.Name,Uncertainty.Bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
250,ISR,Israel,Median,"1,9217","1,8727","1,825","1,7789","1,7345","1,692","1,6515","1,6125","1,5746","1,538","1,5016","1,4654","1,6471","1,3944","1,359","1,3235","1,2889","1,254","1,2196","1,185","1,1509","1,1173","1,0844","1,052","1,0201","0,9885","0,9567","0,9255","0,8952","0,8656"
253,ITA,Italy,Median,"1,8332","1,8857","1,9217","1,9335","1,9116","1,8545","1,7659","1,6563","1,5452","1,4495","1,3701","1,302","1,2409","1,1857","1,1352","1,0906","1,0543","1,0259","1,0006","0,9733","0,9414","0,9058","0,8683","0,8358","0,8153","0,8078","0,8132","0,8292","0,8466","0,8554"
256,JAM,Jamaica,Median,"4,5819","4,4893","4,3955","4,3051","4,2127","4,1208","4,0321","3,9448","3,8602","3,7802","3,7074","3,6416","3,5835","3,5353","3,4949","3,4627","3,4313","3,3993","3,3612","3,3119","3,2605","3,2041","3,1454","3,0843","3,0223","2,9555","2,901","2,8433","2,7871","2,7307"
259,JPN,Japan,Median,"1,6739","1,6425","1,608","1,5686","1,525","2,2025","1,4261","1,3741","1,3224","1,2708","1,2194","1,1699","1,124","1,0827","1,0455","1,0117","0,9816","0,9552","0,9324","0,9134","0,8972","1,2307","0,8689","0,8541","0,8384","0,8213","0,803","0,7846","0,7668","0,7491"
262,JOR,Jordan,Median,"5,3964","5,3538","5,3096","5,264","5,2047","5,1348","5,0612","4,9741","4,8798","4,7748","4,6521","4,52","4,3707","4,2051","4,0275","3,8395","3,6544","3,4821","3,3299","3,2082","3,123","3,0771","3,071","3,1008","3,1525","3,2115","3,2727","3,3311","3,3822","3,4154"
265,KAZ,Kazakhstan,Median,"5,7046","5,7568","5,773","5,7452","5,6724","5,5658","5,435","5,292","5,149","5,0136","4,8964","4,8046","4,7376","4,6903","4,6541","4,6072","4,5304","4,4149","4,2583","4,0679","3,8636","3,6634","3,4782","3,3169","3,1809","3,0675","2,9713","2,889","2,8159","2,7498"
268,KEN,Kenya,Median,"16,515","16,903","17,2601","17,5297","17,7174","17,783","17,7344","17,571","17,283","16,9033","16,3982","15,7995","15,1371","14,4364","13,7954","13,1765","12,6304","12,1649","11,7876","11,4969","11,3046","11,1543","11,0735","11,0043","10,9253","10,7953","10,6202","10,397","10,1677","9,899"
271,KIR,Kiribati,Median,"15,3648","14,8851","14,4823","14,1236","13,8187","13,539","13,2613","12,9877","12,7107","12,4156","12,1298","11,8703","11,6564","11,5082","11,4394","11,4228","11,4353","11,4565","11,4436","11,3667","11,2348","11,0639","10,8696","10,6758","10,4515","10,24","10,0064","9,7689","9,5432","9,3017"
274,KWT,Kuwait,Median,"5,8082","47,2457","3,3542","3,2664","3,1795","3,0953","3,0163","2,9421","2,8789","2,8251","2,7785","2,7373","2,7004","2,6654","2,6255","2,5789","2,524","2,4661","2,4034","2,3336","2,2622","2,19","2,1248","2,0659","2,0151","1,9745","1,9445","1,9173","1,8851","1,8475"
277,KGZ,Kyrgyzstan,Median,"5,9676","5,861","5,7668","5,6847","5,6059","5,5187","5,4038","5,2552","5,0699","4,8519","4,6172","4,3815","4,1571","3,9577","3,7885","3,6486","3,54","3,4566","3,3912","3,3375","3,2937","3,2602","3,2324","3,2066","3,1804","3,1509","3,1162","3,0751","3,0294","2,98"
280,LAO,Lao People's Democratic Republic,Median,"41,8977","39,6194","37,4884","35,4521","33,5744","31,7845","30,1277","28,553","27,069","25,6984","24,384","23,1484","21,968","20,8093","19,6923","18,6051","17,5421","16,5191","15,5557","14,6484","13,7746","12,941","12,1636","11,4158","10,7126","10,0726","9,4811","8,9615","8,5192","8,1554"
283,LVA,Latvia,Median,"5,7803","5,5113","5,2481","4,9926","4,7477","4,5137","4,2944","4,0908","3,8999","3,7221","3,5563","3,4016","3,2555","3,1168","2,9831","2,8545","2,7291","2,605","2,4831","2,3633","2,2437","2,1279","2,0159","1,9093","1,8075","1,7122","1,6214","1,5375","1,4589","1,3894"
286,LBN,Lebanon,Median,"9,8775","5,0012","4,8439","4,6886","4,5417","4,3987","4,26","4,1221","3,9862","3,8485","3,705","3,5549","3,4048","3,2471","3,0937","2,9376","3,7506","2,6561","2,5394","2,4445","2,3616","3,2288","2,2232","2,3652","2,3463","2,2415","1,9862","2,2106","1,8966","1,8547"
289,LSO,Lesotho,Median,"15,7948","15,4616","15,1446","14,8329","14,528","14,2266","13,9395","13,6494","13,3676","13,0944","12,8431","12,6009","12,3603","12,1181","11,8863","11,6523","11,4316","11,2113","10,9899","10,7844","10,5684","10,3528","10,1407","9,9342","9,7302","9,5139","9,2953","9,0705","8,8491","8,6101"
292,LBR,Liberia,Median,"38,986","30,8126","30,829","30,8155","37,1929","30,5862","36,1724","29,979","29,4651","28,8293","28,047","27,2233","30,3208","33,5701","24,8548","24,0765","23,3056","22,5144","21,7244","21,0191","20,346","19,7227","19,1771","18,6505","23,0547","17,5788","17,0769","16,5599","16,0309","15,5336"
295,LBY,Libya,Median,"7,6553","7,3975","7,1071","6,7974","6,4585","6,1174","5,7944","5,5085","5,2522","5,0393","4,8564","4,7003","4,5513","4,429","4,3313","4,2322","4,1194","4,001","3,885","3,7714","3,6604","7,6154","3,8569","3,3677","5,7481","5,0719","5,3333","4,089","3,6753","4,1374"
298,LTU,Lithuania,Median,"4,4584","4,3094","4,1571","3,9953","3,8292","3,6606","3,4968","3,3439","3,2003","3,0709","2,9564","2,8559","2,768","2,69","2,6187","2,5496","2,4777","2,4042","2,3236","2,2383","2,1498","2,0596","1,9701","1,882","1,7961","1,7118","1,6292","1,5499","1,4738","1,401"
301,LUX,Luxembourg,Median,"1,9909","1,8504","1,7204","1,6033","1,4956","1,3967","1,3074","1,2243","1,1494","1,0805","1,0177","0,9601","0,9051","0,8543","0,8071","0,7632","0,7218","0,6822","0,6456","0,6118","0,5798","0,5499","0,5226","0,4959","0,4707","0,4477","0,4275","0,4107","0,3958","0,381"
304,MDG,Madagascar,Median,"37,7567","36,462","35,1647","33,9255","32,7177","31,5761","30,5234","29,5291","28,5919","27,7078","26,8598","26,0552","25,266","24,5208","23,8268","23,197","22,6165","22,0732","21,5775","21,1058","20,7077","20,3464","19,981","19,6929","19,4555","19,2086","18,979","18,7586","18,493","18,1944"
307,MWI,Malawi,Median,"38,1609","36,6073","35,1165","33,6816","32,2991","30,9815","29,6927","28,4509","27,224","26,0556","24,9308","23,8636","22,8425","21,8904","21,008","20,1733","19,4038","18,6824","17,9952","17,3534","16,7276","16,1106","15,5124","14,9351","14,3605","13,8266","13,3206","12,8711","12,4468","12,0444"
310,MYS,Malaysia,Median,"4,929","4,6973","4,4823","4,2877","4,1176","3,9716","3,8422","3,7169","3,5909","3,4684","3,3539","3,2516","3,1645","3,0922","3,0274","2,9634","2,8996","2,8371","2,7789","2,7264","2,6818","2,6457","2,6212","2,6086","2,6052","2,6082","2,6137","2,6197","2,6221","2,6163"
313,MDV,Maldives,Median,"8,9877","8,4168","7,8856","7,3904","6,934","6,5194","6,1369","5,791","5,4811","5,1993","4,9471","4,7194","4,5113","4,3198","6,8927","3,9738","3,8119","3,6524","3,496","3,3377","3,1784","3,0215","2,8624","2,7006","2,5441","2,3907","2,2425","2,1005","1,9685","1,8511"
316,MLI,Mali,Median,"40,288","39,4624","38,6612","37,8844","37,1163","36,3926","35,66","34,9301","34,2035","33,467","32,7154","32,0022","31,2964","30,6071","29,9541","29,3063","28,6861","28,0828","27,5211","26,9688","26,4363","25,9343","25,4474","24,9665","24,4856","24,0003","23,5248","23,0638","22,6007","22,1238"
319,MLT,Malta,Median,"1,31","1,2977","1,2871","1,2756","1,2632","1,2529","1,2415","1,2319","1,2225","1,2114","1,2003","1,1895","1,1749","1,1613","1,1451","1,128","1,1079","1,0873","1,0649","1,042","1,017","0,994","0,9707","0,9472","0,9253","0,9029","0,8806","0,8583","0,8351","0,8103"
322,MHL,Marshall Islands,Median,"9,0589","8,7648","8,4923","8,2475","8,0426","7,9126","7,829","7,8018","7,8021","7,8079","7,808","7,8037","7,7798","7,7446","7,7032","7,6625","7,6195","7,5794","7,5381","7,5092","7,4735","7,4253","7,3557","7,2543","7,1405","6,9981","6,8496","6,6986","6,5471","6,3849"
325,MRT,Mauritania,Median,"19,0827","18,3153","17,5944","16,9047","16,254","15,6439","15,0568","14,4875","13,9312","13,4394","12,9439","12,5137","12,092","11,7083","11,3499","11,0385","10,6985","10,3821","10,0701","9,7986","9,5268","9,2758","8,9806","8,7023","8,4614","8,2076","7,9739","7,7447","7,5136","7,296"
328,MUS,Mauritius,Median,"3,4826","3,4073","3,334","3,2619","3,1906","3,1201","3,0517","2,9852","2,9189","2,854","2,7909","2,7277","2,6655","2,6053","2,5458","2,4881","2,4318","2,3765","2,3214","2,2676","2,2151","2,1631","2,1135","2,066","2,0195","1,9752","1,9345","1,8951","1,8571","1,8208"
331,MEX,Mexico,Median,"5,1741","4,7666","4,421","4,144","3,9295","3,7686","3,6452","3,5412","3,4451","3,3547","3,2699","3,1927","3,1264","3,0739","3,0342","3,0069","2,9876","2,97","2,9483","2,9181","2,8753","2,8219","2,7654","2,7111","2,6635","2,6259","2,5979","2,5754","2,5549","2,5292"
334,FSM,Micronesia (Federated States of),Median,"9,8725","9,8101","9,7763","9,7753","9,8059","9,8395","9,8523","9,8548","9,7974","9,6955","9,5608","9,3928","11,6239","9,0458","8,8303","8,6191","8,4056","8,1968","7,9822","7,7902","7,5862","7,3954","7,2202","7,0516","6,868","6,6946","6,5102","6,3548","6,1904","6,0068"
337,MCO,Monaco,Median,"1,7856","1,7207","1,6585","1,6003","1,5451","1,493","1,4434","1,397","1,354","1,3139","1,2781","1,2447","1,2146","1,1874","1,1623","1,1386","1,1171","1,0959","1,0756","1,0563","1,0375","1,0188","0,9992","0,9783","0,9574","0,9345","0,9116","0,8881","0,8658","0,8429"
340,MNG,Mongolia,Median,"11,954","11,7782","11,5559","11,2438","10,8129","10,2564","9,5831","8,8263","8,0377","7,2684","6,5758","5,9962","5,5473","5,2343","5,056","4,9993","5,0533","5,1984","5,4029","5,6308","5,824","5,922","5,8941","5,7321","5,4454","5,0743","4,6535","4,2211","3,8033","3,425"
343,MNE,Montenegro,Median,"2,5562","2,4989","2,441","2,3827","2,3238","2,2661","2,2065","2,1477","2,0911","2,0306","1,9704","1,9111","1,8529","1,7931","1,7326","1,6724","1,6118","1,5516","1,4919","1,4314","1,3731","1,3158","1,2608","1,209","1,1607","1,1149","1,069","1,0267","0,9887","0,9554"
346,MAR,Morocco,Median,"9,5474","9,1061","8,6835","8,2741","7,8788","7,5005","7,1345","6,7856","6,4493","6,1311","5,8349","5,5487","5,2761","5,0218","4,7811","4,5526","4,3347","4,1294","3,9342","3,7491","3,575","3,4233","3,2871","3,1684","3,0541","2,9537","2,8556","2,7657","2,6744","2,5893"
349,MOZ,Mozambique,Median,"57,5391","54,7661","52,1223","49,6896","47,3737","44,9763","42,7375","40,5846","38,4856","36,5298","34,6755","32,9219","31,3117","29,8033","28,3776","27,0522","25,7511","24,5003","23,2846","22,1453","21,0921","20,1474","19,295","18,5553","17,8698","17,2473","16,6829","16,1729","15,7197","15,2619"
352,MMR,Myanmar,Median,"29,1629","28,5759","27,9616","27,1916","26,3322","25,4251","24,5227","23,5717","22,5609","21,5527","20,628","19,6878","18,7095","17,7145","16,6748","15,6214","14,5315","13,3887","31,5804","11,1342","10,0941","9,0748","8,1188","7,22","6,5239","5,9724","5,5677","5,2425","4,9796","4,7448"
355,NAM,Namibia,Median,"14,6451","14,3956","14,1716","13,9603","13,8093","13,6888","13,6135","13,5608","13,5434","13,5629","13,6102","13,667","13,7356","13,7592","13,7607","13,7188","13,6609","13,5906","13,5171","13,4288","13,3102","13,2003","13,0548","12,8625","12,6317","12,3328","12,0579","11,7337","11,4377","11,1421"
358,NRU,Nauru,Median,"10,6213","10,2723","9,945","9,6212","9,3229","9,043","8,7797","8,5173","8,2865","8,0726","7,8876","7,7284","7,6005","7,5183","7,4646","7,4553","7,4767","7,5249","7,5591","7,5557","7,4968","7,4192","7,3002","7,1629","7,014","6,8643","6,7084","6,5565","6,3871","6,2344"
361,NPL,Nepal,Median,"26,5634","25,2428","23,9474","22,6362","21,3148","19,9477","18,5807","17,2284","15,9072","14,6566","13,4868","12,4111","13,3409","10,6137","9,8592","9,2089","8,6523","8,1702","7,7689","7,4211","7,1371","6,8973","6,6695","6,4226","6,1938","8,8401","5,7685","5,5968","5,4243","5,2587"
364,NLD,Netherlands,Median,"1,8925","1,8313","1,7716","1,714","1,6574","1,6026","1,5498","1,4989","1,4501","1,4032","1,3572","1,3117","1,2666","1,2221","1,1779","1,1345","1,0927","1,0527","1,0152","0,9794","0,9459","0,914","0,8838","0,8546","0,8265","0,7995","0,7731","0,7476","0,7224","0,6976"
367,NZL,New Zealand,Median,"2,5217","2,439","2,3587","2,2835","2,2128","2,1459","2,0821","2,0207","1,96","1,8982","1,8353","1,7732","1,7113","1,6505","1,5916","1,535","1,4807","1,4286","1,3774","1,3273","1,2792","1,2328","1,1891","1,1485","1,1102","1,0759","1,0426","1,0109","0,9798","0,9509"
370,NIC,Nicaragua,Median,"7,3944","7,2317","7,0628","6,8989","6,7372","6,5708","6,4089","6,2487","9,6583","5,9226","5,7695","5,617","5,4617","5,3136","5,1638","5,0224","4,8862","4,7497","4,6178","4,4818","4,3597","4,241","4,1253","4,0026","3,8827","3,7599","3,6471","3,539","3,436","3,3353"
373,NER,Niger,Median,"64,2661","63,1534","62,0396","60,8089","59,572","58,2476","56,8855","55,4799","53,9907","52,4913","50,9594","49,4825","47,9867","46,5371","45,1455","43,807","42,5983","41,4707","40,4259","39,4529","38,4928","37,5894","36,6878","35,7957","34,9102","33,9601","33,0222","32,0914","31,1933","30,292"
376,NGA,Nigeria,Median,"38,1345","37,473","36,8028","36,1437","35,4627","34,7805","34,0881","33,4126","32,72","32,0306","31,3443","30,6438","29,9703","29,3299","28,7067","28,1042","27,5098","26,9473","26,3984","25,8532","25,3319","24,8273","24,3356","23,8712","23,421","22,9903","22,5952","22,1591","21,7267","21,2682"
379,NIU,Niue,Median,"3,2056","3,3499","3,5031","3,6638","3,828","4,0032","4,1949","4,3906","4,5996","4,8064","5,0371","5,2755","5,5279","5,7655","5,9865","6,1338","6,2246","6,229","6,204","6,1506","6,0601","5,9707","5,8563","5,74","5,6174","5,4922","5,3649","5,235","5,0885","4,9525"
382,NOR,Norway,Median,"1,8481","1,7835","1,7212","1,6614","1,604","1,5485","1,4953","1,4446","1,3952","1,3477","1,3019","1,2578","1,215","1,1731","1,1317","1,0915","1,0526","1,0145","0,9776","0,9421","0,9082","0,8757","0,8442","0,814","0,7855","0,7584","0,733","0,7092","0,6868","0,6645"
385,OMN,Oman,Median,"5,8699","5,4862","5,1283","4,7992","4,5014","4,2377","4,0018","3,7876","3,5949","3,4206","3,2604","3,1214","3,0008","2,9002","2,8178","2,7525","2,7005","2,6609","2,6305","2,6057","2,5835","2,5627","2,5423","2,524","2,5115","2,5093","2,5162","2,5273","2,5376","2,5402"
388,PAK,Pakistan,Median,"13,5911","13,821","14,1108","14,2486","14,0878","13,6605","13,0651","12,4853","12,0007","11,5836","11,189","10,7336","10,2098","9,8131","9,6329","9,6071","9,7145","9,8285","9,9178","9,9574","9,9527","9,8703","9,7511","9,5791","9,3888","9,1789","8,9666","8,752","8,5647","8,3521"
391,PLW,Palau,Median,"6,9786","6,9175","6,8398","6,7457","6,6331","6,5181","6,392","6,27","6,1454","6,0345","5,9188","5,8207","5,7257","5,6306","5,5509","5,4635","5,371","5,282","5,1743","5,062","4,9502","4,8232","4,716","4,6046","4,4932","4,3811","4,2787","4,1676","4,0562","3,951"
394,PAN,Panama,Median,"4,8938","4,8125","4,7305","4,6494","4,5691","4,49","4,4083","4,3225","4,2328","4,1408","4,0489","3,9621","3,8821","3,8122","3,7539","3,7087","3,6774","3,6581","3,6476","3,6402","3,6294","3,6063","3,5694","3,5131","3,4391","3,3526","3,2599","3,1641","3,0703","2,9777"
397,PNG,Papua New Guinea,Median,"13,9695","13,7467","13,5336","13,3269","13,1334","12,9558","12,7761","12,5945","15,479","12,2496","12,0844","11,9096","11,74","11,5654","11,3881","11,2075","11,017","10,8265","10,6305","10,4348","10,2326","10,0408","9,8385","9,6418","9,4416","9,2476","9,033","8,8269","8,6271","8,4027"
400,PRY,Paraguay,Median,"7,1141","6,9125","6,722","6,5272","6,3357","6,1493","5,963","5,786","5,6112","5,4448","5,2865","5,1224","4,962","4,8013","4,6446","4,4825","4,3284","4,1751","4,0268","3,8777","3,7395","3,6145","3,4944","3,3758","3,2701","3,172","3,0745","2,9801","2,8853","2,8086"
403,PER,Peru,Median,"9,7884","9,3301","8,894","8,4753","8,0672","7,6767","7,3007","6,9371","6,5924","6,2689","5,9635","5,6862","5,4296","5,1892","4,974","4,7734","4,5841","4,407","4,2357","4,0726","3,9106","3,7505","3,6011","3,4622","3,335","3,2217","3,1182","3,0201","2,9289","2,8409"
406,PHL,Philippines,Median,"8,296","8,8004","7,6182","7,3284","7,063","6,8198","6,5902","6,3626","6,1287","5,8966","5,6818","5,494","5,3339","5,2015","5,0941","5,0089","4,942","4,8884","4,8423","4,7983","4,7473","4,6859","4,6163","5,1164","4,4599","4,3797","4,2993","4,2152","4,1223","4,027"
409,POL,Poland,Median,"2,7935","2,6718","2,5593","2,4571","2,3652","2,2815","2,2046","2,1321","2,0635","1,9982","1,9363","1,8778","1,8221","1,7692","1,7167","1,6643","1,6109","1,5568","1,5019","1,4463","1,391","1,337","1,2851","1,2363","1,1903","1,1479","1,1089","1,0734","1,0406","1,0083"
412,PRT,Portugal,Median,"3,9322","3,8103","3,6845","3,5519","3,4124","3,2664","3,1106","2,9469","2,777","2,603","2,4296","2,2612","2,0998","1,9473","1,805","1,6742","1,5555","1,4484","1,3528","1,267","1,1915","1,1237","1,0639","1,0106","0,9629","0,9202","0,882","1,0649","0,8147","0,7848"
415,QAT,Qatar,Median,"3,8257","3,6657","3,5112","3,3824","3,2777","3,1915","3,1221","3,0657","3,0186","2,968","2,9155","2,8605","2,8031","2,7423","2,6815","2,6221","2,5611","2,4966","2,4238","2,3436","2,2543","2,1578","2,0575","1,9528","1,8433","1,7321","1,6266","1,5326","1,4502","1,3815"
418,KOR,Republic of Korea,Median,"4,475","4,2557","4,0409","3,825","3,6012","3,3657","3,1249","2,8877","2,662","2,4549","2,2709","2,1082","1,9625","1,8309","1,7122","1,6052","1,5082","1,4196","1,3381","1,262","1,1908","1,1245","1,0629","1,0064","0,9558","0,9115","0,8729","0,8382","0,8068","0,7779"
421,MDA,Republic of Moldova,Median,"5,3982","5,3756","6,259","5,2822","5,2","5,0903","4,9563","4,8019","4,6339","4,4547","4,2733","4,0919","3,916","3,7478","3,5903","3,444","3,31","3,1893","3,0832","2,9901","2,9118","2,8481","2,7982","2,7609","2,7356","2,719","2,7088","2,7025","2,6986","2,6909"
424,MKD,Republic of North Macedonia,Median,"3,3068","3,24","3,1698","3,0968","3,0191","2,934","2,8441","2,7482","2,6432","2,5349","2,4207","2,3058","2,191","2,0788","1,9723","1,8731","1,7838","1,7047","1,6359","1,5775","1,5286","1,4879","1,4544","1,4281","1,4075","1,3899","1,3758","1,3651","1,3558","1,3436"
427,ROU,Romania,Median,"5,2757","4,9845","4,866","5,0144","5,4536","6,0123","6,4372","6,5698","6,3562","5,8518","5,2371","4,6598","4,1413","3,6645","3,2482","2,9579","2,8297","2,8011","2,7647","2,6642","2,5197","2,3631","2,223","2,1298","2,0828","2,0425","1,9712","1,8692","1,7579","1,6484"
430,RUS,Russian Federation,Median,"5,1333","5,2709","5,3666","5,3711","5,2652","5,0948","4,9077","4,7483","4,6562","4,6358","4,634","4,5956","4,5042","4,364","4,1841","3,9753","3,7514","3,5329","3,3425","3,1878","3,0574","2,9409","2,8326","2,7283","2,6244","2,5138","2,3894","2,2507","2,1008","1,9444"
433,RWA,Rwanda,Median,"61,5903","64,473","67,9086","71,794","177,592","164,0405","76,9431","74,1629","69,4892","63,6669","57,55","51,8042","46,5769","41,8975","37,6662","33,7595","30,0484","26,661","23,6139","22,7078","18,6233","16,6826","15,0771","13,7709","12,6768","11,7882","11,05","10,4291","9,9139","9,4914"
436,KNA,Saint Kitts and Nevis,Median,"4,595","4,5263","4,4722","4,4272","4,3825","4,3324","4,2721","4,1985","4,1106","4,0091","3,8987","3,7798","3,6624","3,554","3,4554","3,3755","3,3115","3,2618","3,2269","3,2021","3,1876","3,1761","3,1671","3,1593","3,1393","3,1114","3,0726","3,0241","2,9747","2,9217"
439,LCA,Saint Lucia,Median,"3,9552","3,9561","3,9515","3,9441","3,9317","3,9123","3,8877","3,8537","3,8135","3,7623","3,7062","3,6493","3,5872","3,5234","3,4592","3,3988","3,3435","3,2962","3,2548","3,2207","3,1908","3,1675","3,1443","3,1331","3,1229","3,1143","3,1094","3,1089","3,0998","3,08"
442,VCT,Saint Vincent and the Grenadines,Median,"3,6245","3,6363","3,6517","3,666","3,6829","3,7025","3,7218","3,7451","3,7737","3,8019","3,8358","3,8761","3,9162","3,96","4,0115","4,0697","4,128","4,1893","4,2552","4,3205","4,3837","4,452","4,5229","4,5892","4,6586","4,7308","4,7897","4,8222","4,8084","4,7696"
445,WSM,Samoa,Median,"6,0648","5,907","5,7469","5,5818","5,4206","5,2609","5,1078","4,96","4,8149","4,6748","4,5416","4,4251","4,3277","4,2544","4,2075","4,1808","4,1673","4,1628","4,1595","10,2815","4,1345","4,1029","4,059","4,0034","3,9345","3,8544","3,7729","3,6876","3,5998","3,5125"
448,SMR,San Marino,Median,"2,8691","2,6828","2,509","2,3435","2,1888","2,0427","1,9087","1,7821","1,6649","1,5583","1,456","1,3624","1,2749","1,1928","1,1179","1,0469","0,9814","0,9205","0,8634","0,8095","0,7582","0,7115","0,6731","0,6395","0,6119","0,5878","0,565","0,5454","0,5281","0,5116"
451,STP,Sao Tome and Principe,Median,"21,1966","21,3025","21,3135","21,1873","20,9197","20,4772","19,8949","19,1753","18,3805","17,5242","16,6204","15,7097","14,7992","13,8952","13,0445","12,2446","11,4894","10,7951","10,1496","9,5637","9,0058","8,4976","8,0414","7,6417","7,2894","6,9706","6,6915","6,4455","6,2199","6,0104"
454,SAU,Saudi Arabia,Median,"6,4212","6,0794","5,7601","5,4689","5,2018","4,9518","4,7196","4,508","4,3132","4,1298","3,962","3,8041","3,6531","3,5108","3,3746","3,2408","3,1078","2,9796","2,8526","2,728","2,6055","2,4888","2,3741","2,2657","2,1597","2,0556","1,9588","1,8771","1,8058","1,7464"
457,SEN,Senegal,Median,"34,074","33,4133","33,0627","33,0621","33,284","33,6403","33,9436","34,1206","34,0155","33,5564","32,7129","31,5215","30,0376","28,4","26,7021","25,0835","23,557","22,1519","20,8104","19,558","18,3919","17,2626","16,1841","15,1486","14,1698","13,2225","12,3583","11,5808","10,9264","10,3929"
460,SRB,Serbia,Median,"3,1173","4,4651","4,1065","3,3301","2,5785","2,5229","2,5068","2,5147","2,5218","2,4993","2,4336","2,3226","2,1808","2,0344","1,9006","1,7851","1,6906","1,616","1,556","1,5055","1,4607","1,4196","1,379","1,3418","1,3099","1,2829","1,2608","1,24","1,2185","1,1946"
463,SYC,Seychelles,Median,"3,6228","3,5716","3,5295","3,4866","3,4517","3,4148","3,3781","3,3465","3,3142","3,2807","3,2466","3,2099","3,1743","3,1362","3,0945","3,0566","3,018","2,9772","2,9384","2,8971","2,8619","2,8234","2,7911","2,7582","2,7329","2,7002","2,6696","2,6354","2,5898","2,5411"
466,SLE,Sierra Leone,Median,"50,5141","50,1971","49,8787","49,5076","49,0911","48,5482","47,9028","47,148","55,1104","55,0443","44,3825","43,3236","42,2053","41,0425","39,8349","38,5626","37,2254","35,8535","34,4024","32,9373","31,4847","30,066","28,7343","27,49","31,9902","25,2927","24,2817","23,3115","22,4052","21,5699"
469,SGP,Singapore,Median,"2,3559","2,2381","2,1241","2,0168","1,9152","1,8175","1,7242","1,6354","1,5517","1,4737","1,4014","1,3356","1,2753","1,2213","1,1729","1,1297","1,0893","1,052","1,0169","0,9835","0,9502","0,9182","0,8864","0,855","0,825","0,7952","0,7666","0,7397","0,713","0,6869"
472,SVK,Slovakia,Median,"2,6701","2,6203","2,5709","2,5216","2,4726","2,4226","2,3728","2,3229","2,2719","2,22","2,1665","2,1126","2,0582","2,0043","1,9509","1,8986","1,8476","1,7975","1,7482","1,6991","1,6504","1,6013","1,5536","1,5062","1,4604","1,4165","1,3741","1,333","1,2935","1,2563"
475,SVN,Slovenia,Median,"2,3603","2,2684","2,1798","2,0945","2,0126","1,9342","1,8564","1,7814","1,7079","1,6369","1,5683","1,5021","1,4386","1,3782","1,3212","1,2658","1,2128","1,1627","1,1143","1,0684","1,024","0,9819","0,9427","0,9049","0,8693","0,8348","0,8018","0,7699","0,7393","0,7104"
478,SLB,Solomon Islands,Median,"7,4246","7,2766","7,1194","6,9602","6,8088","6,6728","6,5495","6,4441","6,3468","6,2523","6,169","6,1013","6,0461","5,9981","5,9516","5,8978","5,8321","6,5486","5,6551","5,5446","5,4237","5,3009","5,1756","5,0528","4,936","4,8139","4,6983","4,5796","4,4614","4,3544"
481,SOM,Somalia,Median,"38,0036","49,1773","36,7921","36,5995","36,556","36,5555","36,5555","36,5555","36,5555","36,5555","36,5555","36,5555","36,5555","36,5555","36,5555","36,5436","36,4311","35,9698","35,2807","34,4371","33,4711","32,4874","31,5107","30,5764","29,5908","28,6362","27,7465","26,909","26,0636","25,3657"
484,ZAF,South Africa,Median,"7,5589","7,7555","7,9637","8,1848","8,4241","8,659","8,9344","9,2159","9,5377","9,91","10,3767","10,9202","11,5219","12,1262","12,6103","12,8794","12,8872","12,6515","12,1887","11,5646","10,8676","10,1201","9,3359","8,5589","7,8358","7,2016","6,6634","6,1982","5,8087","5,4648"
487,SSD,South Sudan,Median,"52,6796","51,6923","50,614","49,4766","48,1869","46,8146","45,3763","43,8357","42,1794","40,4726","38,6297","36,7238","34,8814","33,1483","31,451","29,8626","28,37","26,9645","25,6823","24,423","23,2642","22,2346","21,5204","21,1564","21,049","21,0438","21,0438","21,0438","21,0438","21,0438"
490,ESP,Spain,Median,"2,3081","2,2196","2,1349","2,0545","1,9773","1,9036","1,833","1,765","1,6985","1,6336","1,57","1,5077","1,446","1,3858","1,3271","1,2705","1,2157","1,1632","1,1131","1,0653","1,0198","0,9768","0,9361","0,8977","0,8614","0,8273","0,7951","0,7641","0,7345","0,7069"
493,LKA,Sri Lanka,Median,"8,3572","9,3582","7,822","5,3371","5,1966","5,0953","5,0205","4,9462","4,8459","4,7048","4,5322","4,3405","4,1497","3,981","24,8847","3,773","3,7463","3,7543","7,7226","8,5827","3,6404","3,4349","3,1493","2,8308","2,5222","2,2544","2,0461","1,8877","1,7632","1,6646"
496,PSE,State of Palestine,Median,"5,7164","5,6544","5,5916","5,5447","5,5035","5,4665","5,4395","5,4006","5,3502","5,2406","5,1375","5,8756","6,7284","5,8105","6,0756","4,5653","5,8193","5,785","5,7983","5,8641","3,9737","3,863","3,7588","3,6505","6,4156","3,4397","3,3588","3,2597","3,1675","3,069"
499,SDN,Sudan,Median,"26,3819","25,7205","24,9702","24,1559","23,2823","22,3892","21,4639","20,5417","19,6437","18,7397","17,8644","16,9957","16,1623","15,3749","14,6112","13,8872","13,214","12,6088","12,0468","11,5422","11,0712","10,6624","10,2799","9,9266","9,5879","9,2538","8,9557","8,6784","8,3934","8,1614"
