,ISOCode,Country.Name,Uncertainty.Bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
31,AZE,Azerbaijan,Median,"6,2039","6,4514","6,6722","6,825","6,8647","6,7828","6,6008","6,3481","6,0723","5,8089","5,5722","5,3658","5,1839","5,0119","4,834","4,648","4,4539","4,2545","4,0644","3,8874","3,7321","3,5978","3,4867","3,3941","3,3194","3,2578","3,2048","3,1569","3,1059","3,0487"
34,BHS,Bahamas,Median,"4,5805","4,5634","4,5483","4,5318","4,5141","4,4929","4,4698","4,4376","4,3942","4,3388","4,2709","4,1915","4,0995","3,9998","3,8938","3,7854","3,6799","3,5738","3,4676","3,3703","3,2743","3,1812","3,0876","2,9989","2,9156","2,8289","2,7451","2,6647","2,5914","2,5172"
37,BHR,Bahrain,Median,"3,7147","3,6644","3,6233","3,5873","3,5563","3,5261","3,4929","3,4534","3,395","3,3175","3,2213","3,1101","2,9884","2,8695","2,7585","2,6544","2,5581","2,4693","2,3877","2,3098","2,239","2,1766","2,1214","2,0731","2,0268","1,9787","1,9298","1,8782","1,8241","1,7752"
40,BGD,Bangladesh,Median,"24,3935","30,3127","22,2618","21,5272","21,008","20,5025","19,5268","17,6474","15,2235","12,9108","11,0535","9,9031","9,5731","9,8847","10,4847","11,0664","11,4016","11,3081","10,781","9,9876","9,0926","8,2027","7,4276","6,8146","6,3755","6,1399","6,0953","6,2774","6,5757","6,8756"
43,BRB,Barbados,Median,"2,8576","2,8214","2,7819","2,7444","2,7047","2,6693","2,6353","2,6075","2,5799","2,5487","2,5181","2,4886","2,4573","2,4254","2,3914","2,3568","2,3189","2,278","2,2415","2,2018","2,1625","2,1207","2,0774","2,0308","1,9865","1,9404","1,8909","1,8417","1,7892","1,7391"
46,BLR,Belarus,Median,"4,043","3,9233","3,8048","3,6875","3,5721","3,4594","3,3486","3,2421","3,1385","3,0377","2,939","2,8408","2,7446","2,6493","2,5576","2,4678","2,3801","2,2934","2,2075","2,1203","2,0296","1,9372","1,8444","1,7511","1,6584","1,5668","1,4771","1,3916","1,3126","1,2427"
49,BEL,Belgium,Median,"2,0412","1,9734","1,9075","1,8434","1,7815","1,7219","1,6642","1,6079","1,5531","1,4993","1,4474","1,3961","1,3473","1,2999","1,2548","1,2121","1,172","1,1342","1,0982","1,0646","1,0331","1,0035","0,975","0,9476","0,9216","0,8967","0,8728","0,849","0,8256","0,8024"
52,BLZ,Belize,Median,"5,1028","5,0717","5,0445","5,0136","4,9799","4,9447","4,907","4,8606","4,8021","4,7353","4,6573","4,569","4,4707","4,3697","4,2688","4,1604","4,0495","3,9361","3,8245","3,7109","3,5997","3,4892","3,3797","3,2709","3,1648","3,0646","2,9721","2,8793","2,7893","2,7018"
55,BEN,Benin,Median,"41,7801","40,547","39,3448","38,181","37,0886","36,0397","35,0603","34,1241","33,2318","32,3897","31,5906","30,8288","30,1088","29,4104","28,718","28,0182","27,3341","26,6826","26,0276","25,386","24,7774","24,1699","23,5638","22,9616","22,3979","21,8278","21,2638","20,7082","20,1741","19,5967"
58,BTN,Bhutan,Median,"19,4869","18,8213","18,1485","17,4647","16,7981","16,2017","15,6445","15,0969","14,5806","14,1094","13,6559","13,2295","12,8289","12,4251","12,0225","11,635","11,2339","10,8463","10,4615","10,0783","9,7138","9,3394","8,9794","8,6399","8,343","8,0644","7,8112","7,5591","7,3357","7,1091"
61,BOL,Bolivia (Plurinational State of),Median,"11,9446","11,4469","10,9776","10,5238","10,1043","9,7164","9,3404","8,9946","8,6711","8,3595","8,0714","7,7914","7,5201","7,2637","7,0051","6,7461","6,5017","6,2511","6,0026","5,7634","5,533","5,3275","5,1364","4,9632","4,793","4,6442","4,4972","4,3617","4,2458","4,116"
64,BIH,Bosnia and Herzegovina,Median,"2,6381","2,518","13,0386","15,0795","9,4035","11,0977","1,9905","1,9025","1,8211","1,7451","1,6776","1,6177","1,5658","1,5211","1,4821","1,4482","1,4163","1,3865","1,3589","1,3331","1,3102","1,2905","1,2745","1,2621","1,2534","1,2452","1,2379","1,2285","1,213","1,1959"
67,BWA,Botswana,Median,"19,4013","18,6845","17,9807","17,2394","16,5549","15,8839","15,2152","14,5578","13,9243","13,3288","12,7412","12,1772","11,6259","11,1012","10,5953","10,1128","9,6557","9,2261","8,8129","8,4272","8,0628","7,7171","7,4094","7,1189","6,8592","6,6264","6,4123","6,2011","6,0076","5,8162"
70,BRA,Brazil,Median,"4,1292","4,0089","3,914","3,8373","3,77","3,7057","3,6367","3,5627","3,4877","3,4189","3,3562","3,2996","3,2485","3,202","3,1578","3,1177","3,0805","3,0468","3,0134","2,9767","2,9343","2,8845","2,8263","2,7614","2,6925","2,6219","2,5526","2,4858","2,4219","2,3567"
73,BRN,Brunei Darussalam,Median,"4,845","4,6642","4,487","4,3223","4,1651","4,0162","3,8763","3,7507","3,6364","3,536","3,4444","3,3614","3,2848","3,2125","3,146","3,0843","3,0252","2,9684","2,9158","2,8641","2,816","2,7686","2,7245","2,6834","2,6421","2,5993","2,5588","2,5149","2,473","2,4288"
76,BGR,Bulgaria,Median,"3,9879","3,9402","3,8958","3,8652","3,8499","3,8443","3,8305","3,7684","3,6114","3,3742","3,1321","2,9446","2,8329","2,7959","2,8154","2,8464","2,8597","2,8358","2,7565","2,6267","2,4724","2,3166","2,1666","2,0345","1,9248","1,8409","1,7806","1,7411","1,7155","1,6987"
79,BFA,Burkina Faso,Median,"36,886","36,7734","36,7359","36,729","36,779","36,7588","36,5892","36,3053","35,8603","35,2354","34,4807","33,5146","32,4233","31,2321","30,0132","28,7785","27,571","26,4145","25,2663","24,2178","23,2968","22,46","21,7027","21,0211","20,3136","19,7266","19,0872","18,5075","17,9654","17,3916"
82,BDI,Burundi,Median,"58,1801","60,9032","63,182","101,9371","72,4952","70,6451","66,1212","65,709","64,9391","63,4472","61,2661","57,9594","53,6587","48,7283","43,5969","38,7525","34,3528","30,7371","27,9221","25,8765","24,5368","23,6455","23,1127","22,8023","22,6612","22,5439","22,4227","22,1722","21,7601","21,3227"
